CustomerID,Age,Gender,State,TenureMonths,MonthlyCharges,TotalCharges,DataUsageGB,CallMinutes,SMSCount,CustomerSupportCalls,NetworkComplaints,LatePayments,PlanType,ContractType,PaymentMethod,FamilyPlan,InternationalCalls,DeviceAgeMonths,AvgMonthlyRecharge,Churn
CUST000037,33,Male,Uttarakhand,98,3627.75,329459.63,6.2,4724,972,8,2,10,Basic,TwoYear,UPI,No,No,48,1260.67,No
CUST000038,32,Female,Chhattisgarh,3,905.75,2738.33,228.87,4350,1350,12,7,3,Standard,Yearly,Credit Card,No,No,60,3469.54,No
CUST000039,64,Male,Andhra Pradesh,36,3801.29,123450.83,256.91,974,2876,13,7,9,Premium,Yearly,Net Banking,Yes,No,36,298.68,No
CUST000040,68,Male,Punjab,35,395.0,13073.72,71.96,1772,1245,12,10,2,Standard,TwoYear,Debit Card,No,No,22,964.52,No
CUST000041,61,Male,Telangana,51,833.16,36654.31,72.23,504,1417,19,5,7,Basic,Monthly,Net Banking,Yes,No,54,2343.67,No
CUST000042,69,Female,Tamil Nadu,12,1472.54,15635.09,286.23,361,164,9,7,1,Premium,Monthly,UPI,No,No,48,2873.98,Yes
CUST000043,20,Male,Rajasthan,15,4000.89,53525.27,196.86,2285,2477,19,0,0,Premium,TwoYear,UPI,No,No,54,480.63,No
CUST000044,54,Female,Maharashtra,4,4265.67,16085.27,50.28,4994,992,18,13,0,Premium,Monthly,UPI,Yes,No,31,652.12,Yes
CUST000045,68,Male,Jharkhand,56,1179.86,67010.13,134.58,912,1088,2,14,9,Premium,Monthly,UPI,No,No,51,1497.65,Yes
CUST000046,24,Male,Tamil Nadu,97,569.34,50857.72,273.13,137,1005,8,2,0,Standard,Monthly,Credit Card,No,No,49,879.32,No
CUST000047,38,Male,Chhattisgarh,16,4254.97,63048.28,186.35,984,534,7,11,2,Standard,Monthly,Debit Card,No,Yes,5,2071.81,No
CUST000048,26,Male,Chhattisgarh,93,3281.9,277808.56,122.24,2346,234,20,1,7,Premium,Yearly,Credit Card,No,No,20,211.18,No
CUST000049,56,Male,Karnataka,6,873.49,4790.73,45.31,3584,408,2,12,11,Premium,Monthly,UPI,Yes,Yes,49,1011.19,Yes
CUST000050,35,Male,Uttar Pradesh,63,2832.81,166099.42,217.8,2579,1381,12,5,11,Standard,Yearly,UPI,No,No,34,3696.29,No
CUST000051,21,Male,Maharashtra,113,4374.62,509103.03,82.91,1214,1935,9,6,0,Premium,TwoYear,Credit Card,No,No,53,3170.32,No
CUST000052,42,Male,Kerala,101,440.62,38044.19,169.77,1906,2594,11,10,1,Basic,Yearly,Cash,Yes,No,14,1835.21,No
CUST000053,31,Male,Gujarat,23,510.23,11440.93,180.04,719,2488,3,4,7,Basic,Monthly,Debit Card,Yes,No,35,3542.1,No
CUST000054,67,Male,Gujarat,77,1440.68,113987.06,166.63,4905,2760,18,2,3,Premium,Yearly,Net Banking,Yes,Yes,54,2979.94,No
CUST000055,26,Female,Telangana,44,3296.09,135367.94,73.95,3682,860,15,0,2,Basic,Yearly,Debit Card,Yes,No,1,3805.24,Yes
CUST000056,43,Female,Bihar,1,972.24,952.97,212.48,824,1995,4,0,8,Standard,Monthly,Debit Card,Yes,Yes,34,380.6,Yes
CUST000057,70,Female,Haryana,57,4100.2,226032.32,169.82,45,2864,8,2,11,Premium,Monthly,Debit Card,Yes,No,49,2583.26,No
CUST000058,19,Female,Haryana,76,3777.11,263442.84,121.1,2445,1380,6,12,2,Standard,Monthly,Debit Card,Yes,No,16,3597.48,No
CUST000059,37,Female,Maharashtra,27,2848.92,67496.77,15.64,1534,1698,13,2,6,Premium,Monthly,Debit Card,No,No,44,770.46,No
CUST000060,45,Female,Jharkhand,25,668.73,14944.84,99.38,3574,2616,14,1,1,Basic,Monthly,Credit Card,Yes,Yes,24,2931.62,No
CUST000061,64,Male,Himachal Pradesh,86,4942.28,366163.92,105.73,2229,1718,9,2,8,Premium,Yearly,Debit Card,Yes,No,56,3275.87,No
CUST000062,24,Male,Andhra Pradesh,62,2501.16,155528.68,237.35,1155,1284,18,4,12,Standard,TwoYear,Net Banking,Yes,Yes,35,1210.87,No
CUST000063,61,Male,Tamil Nadu,98,2315.16,217030.09,154.03,4451,2587,18,10,12,Premium,Monthly,Debit Card,Yes,No,16,694.09,Yes
CUST000064,25,Male,Jharkhand,18,4978.29,90247.84,279.64,446,1325,17,4,7,Premium,TwoYear,UPI,No,No,55,1194.06,Yes
CUST000065,64,Male,Punjab,105,4332.95,413121.35,225.22,1891,2575,9,10,10,Basic,TwoYear,UPI,No,No,8,2103.46,No
CUST000066,52,Female,Chhattisgarh,80,2336.2,188939.6,161.4,2944,1235,16,10,6,Basic,Yearly,Debit Card,No,No,20,2527.09,No
CUST000067,31,Male,Bihar,93,2152.13,182503.21,50.67,571,1956,11,0,8,Premium,TwoYear,UPI,No,No,18,980.8,No
CUST000068,34,Female,Madhya Pradesh,30,569.96,14948.91,66.31,3094,656,8,11,10,Standard,Yearly,Debit Card,No,No,51,2363.37,Yes
CUST000069,53,Male,Assam,30,4639.91,133178.71,48.02,4621,766,11,2,1,Basic,Yearly,Debit Card,No,Yes,20,1033.93,No
CUST000070,67,Male,Uttar Pradesh,84,4234.5,369591.25,132.86,76,2154,17,4,1,Basic,Monthly,UPI,Yes,Yes,37,662.83,No
CUST000071,57,Female,Chhattisgarh,47,1619.01,70985.99,216.76,385,1269,19,3,3,Standard,Yearly,Credit Card,Yes,No,37,358.68,No
CUST000072,21,Female,West Bengal,22,3791.27,79494.25,227.8,588,2289,18,11,11,Basic,Yearly,UPI,No,No,19,557.21,No
CUST000073,19,Male,Madhya Pradesh,42,3837.37,151540.93,28.85,3661,2458,19,1,11,Standard,Monthly,Net Banking,No,Yes,55,2761.18,No
CUST000074,23,Female,Assam,34,1216.76,38949.16,148.77,466,2964,19,9,11,Premium,TwoYear,Net Banking,No,No,43,1261.5,Yes
CUST000075,59,Female,Assam,63,3106.91,174766.41,144.43,3141,161,9,10,4,Standard,Monthly,Net Banking,Yes,No,41,2840.11,No
CUST000076,21,Male,Tamil Nadu,4,1349.64,5044.94,131.67,1016,2352,4,4,3,Premium,Yearly,Credit Card,No,No,34,2942.61,No
CUST000077,46,Male,Telangana,114,3970.44,429718.11,90.36,4057,615,0,2,12,Premium,Yearly,UPI,No,No,15,965.9,No
CUST000078,35,Female,Andhra Pradesh,31,853.67,26436.56,142.74,3991,851,6,4,9,Premium,Yearly,Debit Card,No,Yes,33,1524.07,No
CUST000079,43,Male,West Bengal,51,3377.64,151238.17,154.98,3733,959,14,13,5,Premium,Monthly,Credit Card,No,Yes,4,2295.71,No
CUST000080,61,Male,Jharkhand,50,1697.46,81844.97,179.91,4841,1055,15,11,2,Standard,TwoYear,UPI,Yes,No,59,2117.4,Yes
CUST000081,51,Male,Madhya Pradesh,14,277.29,3813.89,113.21,2927,1076,10,0,3,Basic,Yearly,Credit Card,No,No,13,2589.71,Yes
CUST000082,27,Male,Uttar Pradesh,8,706.15,5234.31,283.53,4846,1061,4,10,11,Basic,Monthly,Credit Card,No,No,30,3867.14,Yes
CUST000083,53,Female,Uttar Pradesh,101,3309.01,320785.75,101.65,515,2837,1,15,8,Premium,Monthly,Cash,No,No,2,3647.97,Yes
CUST000084,31,Male,Gujarat,69,1275.58,87323.96,268.52,1255,817,3,11,1,Basic,Monthly,Credit Card,No,No,5,3237.17,No
CUST000085,48,Female,Andhra Pradesh,8,3192.07,24081.49,240.38,1445,1499,13,10,1,Standard,Monthly,UPI,Yes,No,23,2516.91,Yes
CUST000086,65,Male,Kerala,11,2132.63,21504.1,139.58,4810,961,8,6,0,Premium,Yearly,Debit Card,Yes,Yes,47,2241.61,No
CUST000087,32,Male,Jharkhand,120,3494.3,425580.85,148.89,4583,319,9,4,8,Standard,Monthly,UPI,No,Yes,59,1249.61,Yes
CUST000088,25,Male,Rajasthan,29,2515.45,76432.3,260.96,3023,2084,14,10,9,Premium,Monthly,Net Banking,Yes,Yes,49,3470.35,No
CUST000089,31,Female,Telangana,55,1611.88,79196.49,147.82,1097,405,3,8,4,Standard,Monthly,Debit Card,Yes,No,28,3376.23,No
CUST000090,40,Female,Kerala,85,814.51,71163.5,203.81,3169,2907,8,6,12,Basic,Monthly,UPI,No,Yes,47,3342.07,No
CUST000091,57,Male,Andhra Pradesh,39,1771.38,66257.31,242.79,4598,2377,12,10,4,Premium,TwoYear,Debit Card,No,No,7,434.8,Yes
CUST000092,38,Male,Odisha,13,3210.98,39220.84,272.36,4287,2127,3,11,4,Standard,Monthly,UPI,Yes,No,51,3650.43,No
CUST000093,33,Female,Chhattisgarh,64,3728.32,245444.58,65.45,721,1293,20,15,6,Standard,Monthly,UPI,No,No,9,1751.4,No
CUST000094,62,Female,Gujarat,49,885.66,44789.0,292.61,4524,2354,20,13,1,Standard,TwoYear,UPI,No,No,16,71.97,No
CUST000095,35,Male,Chhattisgarh,19,3354.93,57658.15,289.6,376,1978,7,11,8,Basic,TwoYear,Cash,No,Yes,26,62.49,No
CUST000096,64,Female,Maharashtra,67,978.47,60422.66,89.21,3666,1754,16,7,2,Standard,Yearly,Net Banking,Yes,Yes,14,2690.44,No
CUST000097,70,Female,Karnataka,98,1186.91,118688.29,184.12,1298,2186,9,6,3,Standard,Monthly,Net Banking,No,No,30,2964.77,No
CUST000098,41,Male,Kerala,102,2703.45,261458.27,14.08,3336,1191,19,11,0,Standard,Yearly,UPI,Yes,No,49,1267.27,No
CUST000099,43,Male,Rajasthan,83,1517.09,114284.33,50.35,1241,2730,3,15,0,Standard,TwoYear,Cash,No,No,35,2518.46,No
CUST000100,42,Male,Uttarakhand,96,3341.82,334428.55,175.15,2755,1852,17,8,4,Basic,Monthly,Cash,No,Yes,8,183.32,No
CUST000101,62,Female,Madhya Pradesh,111,4783.31,474352.46,195.03,2875,2209,8,8,9,Standard,Monthly,Net Banking,Yes,No,16,3083.37,No
CUST000102,58,Female,Chhattisgarh,100,829.57,80639.8,160.38,4797,1924,6,13,0,Premium,TwoYear,Cash,No,No,53,3209.57,No
CUST000103,46,Male,Assam,115,2895.5,311532.86,211.42,1245,2199,0,15,11,Standard,Monthly,Net Banking,Yes,No,44,1078.74,No
CUST000104,32,Male,Andhra Pradesh,103,4624.17,447836.12,237.87,4256,1241,0,0,4,Standard,TwoYear,Debit Card,No,No,31,2667.98,No
CUST000105,62,Male,Uttar Pradesh,52,964.99,43716.24,50.54,252,930,13,1,11,Basic,Monthly,Credit Card,No,Yes,29,1325.75,Yes
CUST000106,18,Female,Madhya Pradesh,117,1897.57,200131.08,197.89,1504,2925,17,5,8,Standard,TwoYear,Debit Card,No,Yes,16,3376.1,Yes
CUST000107,42,Male,Kerala,78,705.72,48627.75,168.78,4382,725,3,7,11,Premium,TwoYear,Net Banking,No,Yes,28,2418.37,No
CUST000108,24,Male,Assam,71,3245.98,230447.29,35.28,4299,2472,7,11,0,Standard,Yearly,Credit Card,Yes,Yes,57,3574.84,No
CUST000109,26,Male,Punjab,20,3378.8,66869.76,68.58,3274,195,6,3,10,Standard,TwoYear,Credit Card,No,No,1,2966.48,No
CUST000110,41,Male,Tamil Nadu,96,3354.49,324871.61,125.9,2920,1509,19,8,3,Premium,TwoYear,Cash,No,No,60,824.07,No
CUST000111,18,Male,Madhya Pradesh,110,2756.42,300129.44,259.13,2988,228,15,1,11,Premium,TwoYear,Debit Card,Yes,Yes,37,794.25,No
CUST000112,61,Male,Assam,54,3756.68,177653.67,65.11,177,258,7,5,7,Standard,TwoYear,Debit Card,No,No,35,1019.24,No
CUST000113,25,Male,Tamil Nadu,95,275.8,27398.87,54.88,2774,2787,8,13,4,Basic,Monthly,UPI,Yes,Yes,31,137.52,No
CUST000114,41,Female,Kerala,86,4791.82,365819.47,216.29,2785,114,5,7,6,Basic,Monthly,Credit Card,No,No,58,1927.41,No
CUST000115,28,Male,Assam,5,1188.27,5466.58,292.74,3875,1795,5,1,10,Premium,TwoYear,UPI,Yes,No,17,2932.69,No
CUST000116,68,Male,West Bengal,95,695.65,65516.78,134.2,623,2993,0,0,5,Standard,TwoYear,Net Banking,No,Yes,23,3033.36,No
CUST000117,34,Female,Odisha,79,4711.57,326837.34,105.04,1557,971,18,6,8,Basic,Monthly,UPI,Yes,No,47,2710.34,Yes
CUST000118,25,Male,Odisha,108,4169.14,398081.72,76.18,4054,377,5,9,5,Basic,Yearly,Debit Card,Yes,No,40,207.53,No
CUST000119,52,Female,Kerala,62,3847.87,244607.29,14.92,1339,1216,3,8,3,Basic,Yearly,Credit Card,No,Yes,15,950.75,Yes
CUST000120,52,Male,Tamil Nadu,17,613.25,9553.73,53.52,595,2899,14,7,11,Standard,Monthly,UPI,No,No,6,3553.79,No
CUST000121,50,Male,Rajasthan,120,4056.89,478607.63,28.02,383,439,19,7,2,Basic,Yearly,UPI,No,Yes,4,1564.77,Yes
CUST000122,22,Male,Chhattisgarh,53,3084.22,167018.95,148.23,2759,749,14,14,12,Standard,Yearly,Debit Card,Yes,No,37,599.26,No
CUST000123,59,Male,Gujarat,37,3686.35,142483.64,293.46,2587,1443,0,6,8,Basic,Monthly,Debit Card,No,Yes,24,2993.23,Yes
CUST000124,56,Female,Assam,19,4892.54,82924.08,236.22,2364,2114,6,7,5,Standard,Monthly,Debit Card,No,No,33,748.12,No
CUST000125,58,Male,Haryana,10,1052.76,9207.29,180.51,2387,1627,0,7,2,Basic,TwoYear,Debit Card,No,Yes,53,1814.64,Yes
CUST000126,45,Male,Tamil Nadu,44,2571.47,112935.07,145.99,4080,1077,3,3,2,Standard,Monthly,Credit Card,Yes,No,14,2604.79,No
CUST000127,24,Male,Odisha,98,3791.42,329810.91,185.15,223,1436,16,2,5,Basic,Yearly,Credit Card,Yes,No,30,543.66,No
CUST000128,26,Male,Himachal Pradesh,49,2224.92,105318.51,112.81,4284,2249,4,11,8,Basic,TwoYear,UPI,No,No,49,283.28,No
CUST000129,25,Male,Rajasthan,89,367.8,31311.21,53.52,506,2380,12,3,8,Basic,TwoYear,UPI,Yes,No,57,2332.72,No
CUST000130,29,Male,Uttar Pradesh,37,646.05,22995.14,176.93,2796,2148,13,14,1,Basic,Yearly,Debit Card,No,No,45,773.46,No
CUST000131,51,Male,Odisha,58,3050.25,173368.88,158.43,2171,2237,3,12,2,Premium,Monthly,Debit Card,Yes,Yes,60,3653.51,No
CUST000132,50,Female,Chhattisgarh,92,1496.52,140458.0,283.36,2076,1238,8,7,4,Standard,TwoYear,Net Banking,No,No,58,2594.55,No
CUST000133,65,Male,Telangana,15,775.42,10518.92,194.95,3375,1857,3,11,0,Basic,Monthly,UPI,No,No,44,956.48,Yes
CUST000134,40,Female,Himachal Pradesh,20,1765.47,33934.05,232.03,4404,797,1,6,7,Standard,Monthly,Debit Card,No,No,20,1998.09,Yes
CUST000135,41,Female,Uttar Pradesh,55,1084.81,54732.5,27.81,2842,1442,10,4,12,Premium,Yearly,UPI,No,No,2,1458.48,Yes
CUST000136,54,Male,Assam,13,217.3,2581.24,228.28,270,2333,18,1,1,Standard,Yearly,UPI,No,No,55,974.22,Yes
CUST000137,52,Female,Chhattisgarh,20,843.89,14415.06,294.85,1375,19,17,8,5,Premium,Yearly,Cash,Yes,No,30,819.99,No
CUST000138,61,Female,Gujarat,43,4427.08,184630.76,197.25,1,2521,14,9,0,Premium,Monthly,Net Banking,No,No,12,2162.45,Yes
CUST000139,57,Male,Haryana,95,158.98,15775.2,222.63,2731,865,6,5,9,Standard,Monthly,Debit Card,Yes,Yes,23,1789.02,No
CUST000140,39,Female,Rajasthan,82,3891.87,319851.79,293.86,4764,2093,2,1,0,Standard,Yearly,Debit Card,No,Yes,36,454.73,No
CUST000141,44,Male,Uttarakhand,41,3791.96,139699.25,117.38,4911,821,17,10,4,Premium,Yearly,Net Banking,No,No,60,2029.03,No
CUST000142,52,Male,Punjab,48,2864.76,136576.86,247.25,654,2672,12,0,10,Basic,TwoYear,Credit Card,No,No,28,3579.85,No
CUST000143,18,Female,Odisha,56,1121.39,57112.19,119.91,2186,1424,5,5,6,Standard,TwoYear,UPI,Yes,Yes,46,2808.74,No
CUST000144,52,Male,Telangana,92,4402.49,405324.7,127.78,3369,249,20,10,12,Basic,TwoYear,Net Banking,Yes,No,52,3191.9,Yes
CUST000145,54,Male,West Bengal,111,2427.87,275149.29,197.47,2633,2145,11,13,10,Standard,Monthly,Credit Card,No,Yes,34,2263.82,No
CUST000146,64,Male,Bihar,68,948.71,59149.11,76.93,1034,1517,1,2,9,Basic,TwoYear,Cash,No,No,40,1499.94,No
CUST000147,31,Female,Uttarakhand,88,2202.21,164810.07,297.83,3325,2802,9,2,2,Premium,Monthly,Credit Card,No,No,11,2824.52,Yes
CUST000148,20,Female,Himachal Pradesh,44,1055.09,42292.39,98.77,2027,83,2,11,2,Standard,Monthly,Debit Card,No,Yes,39,253.19,Yes
CUST000149,18,Female,Assam,109,1942.44,188684.09,36.85,3721,2276,7,9,11,Standard,Yearly,Net Banking,Yes,No,44,1359.35,Yes
CUST000150,22,Female,Uttar Pradesh,73,2533.77,180104.86,96.77,2774,2867,2,8,1,Basic,Yearly,UPI,No,Yes,37,946.84,Yes
CUST000151,43,Male,Punjab,47,1863.51,79528.43,256.79,1476,2565,2,11,2,Standard,Monthly,UPI,Yes,No,40,1897.47,Yes
CUST000152,31,Male,Chhattisgarh,50,3319.52,142276.16,94.18,589,2018,7,10,10,Standard,Monthly,UPI,Yes,No,3,95.99,No
CUST000153,56,Female,Andhra Pradesh,116,4686.0,519803.75,183.41,4863,1287,12,15,6,Basic,TwoYear,Net Banking,Yes,No,26,356.61,Yes
CUST000154,44,Female,Jharkhand,32,1805.93,59230.87,280.6,688,2223,15,6,1,Premium,Yearly,Net Banking,No,No,45,335.26,No
CUST000155,26,Male,Tamil Nadu,96,1843.12,166370.53,77.99,3988,2945,10,2,0,Standard,Monthly,UPI,Yes,Yes,59,1877.95,No
CUST000156,32,Male,Uttar Pradesh,54,3717.68,185750.21,39.41,1502,136,15,5,2,Standard,Yearly,Cash,No,Yes,20,681.57,No
CUST000157,32,Female,Kerala,39,2699.9,93261.1,29.05,4119,2262,8,10,12,Standard,Yearly,UPI,No,Yes,44,3105.27,No
CUST000158,43,Female,Assam,85,2201.31,173541.37,132.11,4690,2519,12,7,4,Premium,Yearly,Net Banking,Yes,Yes,4,1806.22,Yes
CUST000159,59,Female,Himachal Pradesh,58,4087.66,217212.77,31.29,1585,1365,12,2,6,Basic,Monthly,Net Banking,Yes,No,3,537.42,No
CUST000160,30,Male,Karnataka,108,4466.08,505963.7,136.14,3011,1549,3,4,3,Standard,Monthly,Net Banking,No,Yes,10,974.16,No
CUST000161,68,Female,Punjab,106,2993.87,271681.59,258.82,3963,459,13,4,7,Basic,TwoYear,Net Banking,No,No,37,2069.71,No
CUST000162,49,Female,Assam,61,1007.01,55147.85,233.25,4542,1019,18,13,0,Premium,Yearly,UPI,No,No,17,2677.18,No
CUST000163,56,Male,Kerala,103,2384.8,212160.77,174.51,1589,1190,18,10,1,Premium,Monthly,Debit Card,Yes,No,42,624.61,Yes
CUST000164,66,Female,Gujarat,110,2571.42,288932.99,255.13,3948,224,1,12,1,Premium,TwoYear,UPI,No,No,7,2466.34,No
CUST000165,69,Female,Punjab,91,2217.82,188392.79,30.08,2278,1461,7,0,6,Basic,Yearly,UPI,Yes,No,60,2850.79,No
CUST000166,49,Female,Tamil Nadu,111,1385.92,155260.72,182.83,459,1012,5,10,0,Premium,Monthly,Debit Card,Yes,No,43,3932.07,No
CUST000167,21,Female,Punjab,100,2414.38,238644.76,34.69,822,1718,12,12,11,Standard,Monthly,Debit Card,No,No,32,2987.06,Yes
CUST000168,47,Female,Maharashtra,72,2288.08,170607.61,144.64,3335,960,5,4,9,Premium,TwoYear,Debit Card,Yes,No,53,905.33,No
CUST000169,54,Female,Karnataka,83,1126.52,79920.38,139.04,1794,2710,5,9,7,Standard,Monthly,UPI,Yes,No,2,1338.23,No
CUST000170,40,Male,Madhya Pradesh,93,4526.81,375302.49,79.55,3835,1194,16,1,8,Basic,Yearly,UPI,No,No,38,216.7,Yes
CUST000171,56,Female,Punjab,19,4438.17,83516.26,248.96,414,1526,18,8,5,Standard,Monthly,UPI,No,Yes,21,425.5,Yes
CUST000172,62,Female,West Bengal,69,3822.12,255035.12,68.47,830,1529,4,5,2,Premium,Yearly,UPI,Yes,No,20,733.94,No
CUST000173,32,Female,Maharashtra,22,2064.64,44919.35,165.57,753,1750,11,10,7,Basic,Yearly,Credit Card,Yes,Yes,18,1156.11,Yes
CUST000174,60,Male,Haryana,35,1914.68,64674.75,144.68,3167,2225,1,1,2,Premium,Monthly,Debit Card,Yes,Yes,37,3186.13,No
CUST000175,46,Female,Haryana,10,3610.68,34886.54,129.5,514,2291,2,10,8,Standard,Monthly,Debit Card,Yes,Yes,31,1995.34,Yes
CUST000176,53,Male,Karnataka,15,3079.78,47883.56,10.06,3788,2125,9,9,12,Standard,Yearly,Credit Card,No,No,11,3713.44,No
CUST000177,30,Female,Kerala,2,3042.93,6294.35,209.02,929,712,10,5,4,Basic,TwoYear,Debit Card,No,No,1,3677.09,Yes
CUST000178,49,Female,Maharashtra,117,708.15,71055.15,3.81,1972,437,18,14,9,Premium,Monthly,Credit Card,Yes,No,46,884.76,Yes
CUST000179,24,Male,West Bengal,106,3129.59,309421.85,246.16,944,810,17,10,3,Basic,Yearly,Debit Card,No,No,21,1463.69,Yes
CUST000180,68,Female,Haryana,22,4519.13,94660.01,79.92,4080,1783,16,4,6,Standard,Monthly,Net Banking,No,No,48,908.76,Yes
CUST000181,39,Male,Karnataka,112,520.5,53724.48,36.0,3742,893,3,4,1,Standard,TwoYear,Debit Card,No,No,19,52.13,No
CUST000182,45,Male,Himachal Pradesh,99,1761.94,149996.17,125.11,4569,430,14,15,5,Premium,Monthly,Debit Card,Yes,No,41,1927.24,No
CUST000183,19,Female,West Bengal,103,2594.17,252359.16,167.81,1095,2383,20,13,0,Premium,Monthly,Net Banking,Yes,No,17,305.11,No
